,0,1,2,3
129,"{'f': 'gitian.sigs', 'v': 'gitian.sigs-OmniLayer'}",OmniLayer,1.098901098901099,475
130,"{'f': 'omniwallet-func-test', 'v': 'omniwallet-func-test-OmniLayer'}",OmniLayer,1.098901098901099,205
131,"{'f': 'omnilayer.github.io', 'v': 'omnilayer.github.io-OmniLayer'}",OmniLayer,2.197802197802198,2799
132,"{'f': 'OLEs', 'v': 'OLEs-OmniLayer'}",OmniLayer,2.197802197802198,0
133,"{'f': 'omniEngine', 'v': 'omniEngine-OmniLayer'}",OmniLayer,4.395604395604396,899
134,"{'f': 'OmniJ', 'v': 'OmniJ-OmniLayer'}",OmniLayer,1.098901098901099,3327
135,"{'f': 'omnicore', 'v': 'omnicore-OmniLayer'}",OmniLayer,24.175824175824175,64666
136,"{'f': 'omniexplorer', 'v': 'omniexplorer-OmniLayer'}",OmniLayer,2.197802197802198,2494
137,"{'f': 'omniwallet', 'v': 'omniwallet-OmniLayer'}",OmniLayer,16.483516483516482,16420
138,"{'f': 'spec', 'v': 'spec-OmniLayer'}",OmniLayer,13.186813186813188,715
139,"{'f': 'omnicore-lite', 'v': 'omnicore-lite-OmniLayer'}",OmniLayer,25.274725274725274,61700
140,"{'f': 'balanceHistory', 'v': 'balanceHistory-OmniLayer'}",OmniLayer,1.098901098901099,6
141,"{'f': 'omni-devops', 'v': 'omni-devops-OmniLayer'}",OmniLayer,2.197802197802198,4355
142,"{'f': 'OmniClientJS', 'v': 'OmniClientJS-OmniLayer'}",OmniLayer,2.197802197802198,25
143,"{'f': 'omniapi', 'v': 'omniapi-OmniLayer'}",OmniLayer,1.098901098901099,300
144,"{'f': 'Namecoin', 'v': 'Namecoin'}",BlockchainProjects,0,5536313
145,"{'f': 'dns-prop279', 'v': 'dns-prop279-Namecoin'}",Namecoin,9.174311926605505,8872
146,"{'f': 'namecoin.info-dotbit', 'v': 'namecoin.info-dotbit-Namecoin'}",Namecoin,0.0,803
147,"{'f': 'namecoin-core', 'v': 'namecoin-core-Namecoin'}",Namecoin,11.009174311926607,87489
148,"{'f': 'ncdns', 'v': 'ncdns-Namecoin'}",Namecoin,0.45871559633027525,294
149,"{'f': 'crosssignnameconstraint', 'v': 'crosssignnameconstraint-Namecoin'}",Namecoin,0.0,26
150,"{'f': 'tlsrestrictnss', 'v': 'tlsrestrictnss-Namecoin'}",Namecoin,0.0,32
151,"{'f': 'NamecoinToBind', 'v': 'NamecoinToBind-Namecoin'}",Namecoin,0.45871559633027525,212
152,"{'f': 'ncdns-nsis', 'v': 'ncdns-nsis-Namecoin'}",Namecoin,0.45871559633027525,130
153,"{'f': 'nameid', 'v': 'nameid-Namecoin'}",Namecoin,0.45871559633027525,520
154,"{'f': 'namecoin.org', 'v': 'namecoin.org-Namecoin'}",Namecoin,1.3761467889908259,5129
155,"{'f': 'gitian.sigs', 'v': 'gitian.sigs-Namecoin'}",Namecoin,1.834862385321101,312
156,"{'f': 'wiki', 'v': 'wiki-Namecoin'}",Namecoin,1.834862385321101,4227
157,"{'f': 'Convergence', 'v': 'Convergence-Namecoin'}",Namecoin,7.339449541284404,1309
158,"{'f': 'meta', 'v': 'meta-Namecoin'}",Namecoin,0.0,12
159,"{'f': 'proposals', 'v': 'proposals-Namecoin'}",Namecoin,0.9174311926605505,170
160,"{'f': 'BitcoinArmory', 'v': 'BitcoinArmory-Namecoin'}",Namecoin,1.834862385321101,69568
161,"{'f': 'nmcontrol', 'v': 'nmcontrol-Namecoin'}",Namecoin,3.211009174311927,798
162,"{'f': 'namecoin-canaries', 'v': 'namecoin-canaries-Namecoin'}",Namecoin,1.3761467889908259,23
163,"{'f': 'TorNS', 'v': 'TorNS-Namecoin'}",Namecoin,0.45871559633027525,11
164,"{'f': 'libcoin', 'v': 'libcoin-Namecoin'}",Namecoin,12.844036697247708,6537
165,"{'f': 'namecoin-graphics', 'v': 'namecoin-graphics-Namecoin'}",Namecoin,0.45871559633027525,25127
166,"{'f': 'namecoin.info', 'v': 'namecoin.info-Namecoin'}",Namecoin,2.293577981651376,7805
167,"{'f': 'electrumx', 'v': 'electrumx-Namecoin'}",Namecoin,9.63302752293578,1612
168,"{'f': 'consensusj', 'v': 'consensusj-Namecoin'}",Namecoin,0.9174311926605505,4695
169,"{'f': 'namecoin-legacy', 'v': 'namecoin-legacy-Namecoin'}",Namecoin,9.174311926605505,25446
170,"{'f': 'electrum-nmc', 'v': 'electrum-nmc-Namecoin'}",Namecoin,10.550458715596331,17079
171,"{'f': 'libdohj', 'v': 'libdohj-Namecoin'}",Namecoin,11.926605504587156,14226
172,"{'f': 'NAVCoin', 'v': 'NAVCoin'}",BlockchainProjects,0,251302
173,"{'f': 'nav-docker', 'v': 'nav-docker-NAVCoin'}",NAVCoin,17.24137931034483,24
174,"{'f': 'nav-community-site', 'v': 'nav-community-site-NAVCoin'}",NAVCoin,17.24137931034483,11604
175,"{'f': 'navcoin-org', 'v': 'navcoin-org-NAVCoin'}",NAVCoin,3.4482758620689653,9078
176,"{'f': 'navcoin-seeder', 'v': 'navcoin-seeder-NAVCoin'}",NAVCoin,44.827586206896555,205
177,"{'f': 'navcoin-core', 'v': 'navcoin-core-NAVCoin'}",NAVCoin,17.24137931034483,17579
178,"{'f': 'Multichain', 'v': 'Multichain'}",BlockchainProjects,0,1549070
179,"{'f': 'sample-bitcoinj', 'v': 'sample-bitcoinj-Multichain'}",Multichain,36.61971830985916,16053
180,"{'f': 'multichain-web-demo', 'v': 'multichain-web-demo-Multichain'}",Multichain,2.8169014084507045,61
181,"{'f': 'multichain', 'v': 'multichain-Multichain'}",Multichain,2.8169014084507045,3418
182,"{'f': 'sample-BitcoinWallet', 'v': 'sample-BitcoinWallet-Multichain'}",Multichain,1.4084507042253522,474
183,"{'f': 'multichain-explorer', 'v': 'multichain-explorer-Multichain'}",Multichain,15.492957746478872,2432
184,"{'f': 'azure-quickstart-templates', 'v': 'azure-quickstart-templates-Multichain'}",Multichain,39.436619718309856,33484
185,"{'f': 'sample-BitcoinCore', 'v': 'sample-BitcoinCore-Multichain'}",Multichain,1.4084507042253522,282
186,"{'f': 'MonetaryUnit', 'v': 'MonetaryUnit'}",BlockchainProjects,0,6087321
187,"{'f': 'insight', 'v': 'insight-MonetaryUnit'}",MonetaryUnit,6.338028169014084,2948
